Meeting,Meeting Date,Origin,Index Title,Title,Published,Page URL,PDF URL
SAGE 06,2020-02-11,SAGE secretariat,"Influenza vs COVID planning assumptions, 10 February 2020",NSRA pandemic influenza planning assumptions compared with WN-CoV - 10 February 2020,2020-05-05,https://www.gov.uk/government/publications/influenza-vs-covid-planning-assumptions-10-february-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/887388/16-nsra-pandemic-influenza-planning-assumptions-comparison-10022020.pdf
SAGE 06,2020-02-11,SPI-M-O,"SPI-M-O: Consensus statement on 2019 novel coronavirus (COVID-19), 10 February 2020",SPI-M-O: Consensus statement on 2019 novel coronavirus (2019-nCoV) - 10 February 2020,2020-05-05,https://www.gov.uk/government/publications/spi-m-o-consensus-statement-on-2019-novel-coronavirus-covid-19-10-february-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/887425/17-spi-m-o-consensus-statement-10022020.pdf
SAGE 06,2020-02-11,SPI-M-O,"SPI-M-O: Consensus view on public gatherings, 11 February 2020",SPI-M-O: Consensus view on public gatherings - 11 February 2020,2020-03-20,https://www.gov.uk/government/publications/spi-m-o-consensus-view-on-public-gatherings-11-february-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/887734/12-spi-m-o-consensus-view-on-public-gatherings.pdf
SAGE 06,2020-02-11,SPI-M-O,"SPI-M-O: Consensus view on the impact of mass school closures, 10 February 2020",SPI-M-O: Consensus view on the impact of mass school closures on 2019 novel coronavirus - 10 February 2020,2020-05-22,https://www.gov.uk/government/publications/spi-m-o-consensus-view-on-the-impact-of-mass-school-closures-10-february-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/888389/s0010-spi-m-o-consensus-view-school-closures-100220-sage6.pdf
SAGE 07,2020-02-13,SAGE Minutes,"SAGE 7 minutes: Coronavirus (COVID-19) response, 13 February 2020",Seventh SAGE meeting on COVID-19 - 13 February 2020,2020-05-29,https://www.gov.uk/government/publications/sage-minutes-coronavirus-covid-19-response-13-february-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/888775/S0375_Seventh_SAGE_meeting_on_Covid-19_.pdf
SAGE 08,2020-02-18,SAGE Minutes,"SAGE 8 minutes: Coronavirus (COVID-19) response, 18 February 2020",Eighth SAGE meeting on Wuhan Coronavirus (COVID-19) - 18 February 2020,2020-05-29,https://www.gov.uk/government/publications/sage-minutes-coronavirus-covid-19-response-18-february-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/888776/S0376_Eighth_SAGE_meeting_on_Wuhan_Coronavirus__Covid-19__.pdf
SAGE 08,2020-02-18,Virology cell,"SARS-CoV-2 (COVID-19) environmental persistence and potential infection risk: review of data, 14 February 2020",Review of data on persistence of SARS-CoV-2 in the environment and potential infection risk - 14 February 2020,2020-05-05,https://www.gov.uk/government/publications/sars-cov-2-covid-19-environmental-persistence-and-potential-infection-risk-review-of-data-14-february-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/887429/30-review-data-persistence-sars-cov-2-in-environment-14022020.pdf
SAGE 08,2020-02-18,PHE,"PHE: Clinical virology of SARS-CoV-2, 17 February 2020",Clinical virology of SARS-CoV-2. v3 - 17 February 2020,2020-06-05,https://www.gov.uk/government/publications/phe-clinical-virology-of-sars-cov-2-17-february-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/890148/s0185-clinical-virology-sars-cov-2-170220-sage8.pdf
SAGE 09,2020-02-20,SAGE Minutes,"SAGE 9 minutes: Coronavirus (COVID-19) response, 20 February 2020",Ninth SAGE meeting on Wuhan Coronavirus (COVID-19) - 20 February 2020,2020-05-29,https://www.gov.uk/government/publications/sage-minutes-coronavirus-covid-19-response-20-february-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/888779/S0377_Ninth_SAGE_meeting_on_Wuhan_Coronavirus__Covid-19__.pdf
SAGE 09,2020-02-20,PHE,"PHE: Recommendations on the continuing use of case-identification, contact-tracing and case and contact isolation (CCI) management to mitigate the impact of imported cases of COVID-19, 12 February 2020",Recommendations on the continuing use of case-identification/contact-tracing/case and contact isolation (CCI) management to mitigate the impact of imported cases of COVID-19 - 12 February 2020,2020-06-05,https://www.gov.uk/government/publications/phe-recommendations-on-the-continuing-use-of-case-identification-contact-tracing-and-case-and-contact-isolation-cci-management-to-mitigate-the-imp,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/890215/s0015-recommendations-on-continuing-use-cci-management-120220-sage9.PDF
SAGE 09,2020-02-20,PHE,"PHE: When to stop contact tracing - developing triggers from PHE systems, 20 February 2020",When to stop contact tracing - developing triggers from PHE systems - 20 February 2020,2020-06-05,https://www.gov.uk/government/publications/phe-when-to-stop-contact-tracing-developing-triggers-from-phe-systems-20-february-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/890217/s0018-when-to-stop-contact-tracing-developing-triggers-200220-sage9.pdf
SAGE 09,2020-02-20,Imperial College London,"Potential effect of school closure on a UK COVID-19 epidemic: annex to SPI-M-O consensus view, 20 February 2020",Potential effect of school closure on a UK COVID-19 epidemic - 20 February 2020,2020-06-12,https://www.gov.uk/government/publications/annex-to-spi-m-o-consensus-view-on-the-impact-of-mass-school-closures-20-february-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/891780/S0019_SAGE9_Effect_of_School_Closure_Annex_to_SPIMO_Consensus_view_on_the_impact_of_mass_school_closures.pdf
SAGE 09,2020-02-20,SPI-M-O,"SPI-M-O: Consensus statement on 2019 novel coronavirus (COVID-19), 17 February 2019",SPI-M-O: Consensus statement on 2019 novel coronavirus (COVID-19) - 17 February 2019,2020-05-05,https://www.gov.uk/government/publications/spi-m-o-consensus-statement-on-2019-novel-coronavirus-covid-19-17-february-2019,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/887434/18-spi-m-o-consensus-statement-17022020.pdf
SAGE 09,2020-02-20,SPI-M-O,"SPI-M-O: Consensus view on the impact of mass school closures, 19 February 2020",SPI-M-O: Consensus view on the impact of mass school closures - 19 February 2020,2020-03-20,https://www.gov.uk/government/publications/spi-m-o-consensus-view-on-the-impact-of-mass-school-closures-19-february-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/887733/11-spi-m-o-consensus-view-on-the-impact-of-mass-school-closures.pdf
SAGE 10,2020-02-25,SAGE Minutes,"SAGE 10 minutes: Coronavirus (COVID-19) response, 25 February 2020",Tenth SAGE meeting on Wuhan Coronavirus (COVID-19)  - 25 February 2020,2020-05-29,https://www.gov.uk/government/publications/sage-minutes-coronavirus-covid-19-response-25-february-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/888777/S0378_Tenth_SAGE_meeting_on_Wuhan_Coronavirus__Covid-19__.pdf
SAGE 10,2020-02-25,SPI-B,"SPI-B: Risk of public disorder, 25 February 2020",SPI-B: Return on risk of public disorder - 25 February 2020,2020-03-20,https://www.gov.uk/government/publications/spi-b-risk-of-public-disorder-25-february-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/887660/08-spi-b-return-on-risk-of-public-disorder.pdf
SAGE 10,2020-02-25,PHE,"PHE: If there is evidence of a cluster of COVID-19 cases in the UK, what will the PHE proposal be?, 24 February 2020","If there is evidence of a cluster of COVID-19 cases in the UK, what will the PHE proposal be? - 24 February 2020",2020-06-05,https://www.gov.uk/government/publications/phe-if-there-is-evidence-of-a-cluster-of-covid-19-cases-in-the-uk-what-will-the-phe-proposal-be-24-february-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/890005/s0020-if-there-is-evidence-of-a-cluster-of-covid-19-cases-in-the-uk-what-will-PHE-proposal-be-240220-sage10.pdf
SAGE 10,2020-02-25,Professor Julia Gog,"Transmission-reducing interventions: prediction of reduction in overall attack rate and peak incidence from simple models, 24 February 2020",Transmission-reducing interventions: prediction of reduction in overall attack rate and peak incidence from simple models - 24 February 2020,2020-06-12,https://www.gov.uk/government/publications/transmission-reducing-interventions-prediction-of-reduction-in-overall-attack-rate-and-peak-incidence-from-simple-models-24-february-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/891872/S0021_SAGE10_Transmission-reducing_Interventions_SIMPLE_MODELS.pdf
SAGE 10,2020-02-25,Imperial College London,"Potential effect of non-pharmaceutical interventions on a COVID-19 epidemic, 25 February 2020",Potential effect of non-pharmaceutical interventions on a COVID-19 epidemic - 25 February 2020,2020-06-12,https://www.gov.uk/government/publications/potential-effect-of-non-pharmaceutical-interventions-on-a-covid-19-epidemic-25-february-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/891785/S0025_SAGE10_Effect_of_NPIs.pdf
SAGE 10,2020-02-25,Imperial College London,"Sensitivity of proposed UK sentinel ICU pneumonia surveillance, 25 February 2020",Sensitivity of proposed UK sentinel ICU pneumonia surveillance - 25 February 2020,2020-06-12,https://www.gov.uk/government/publications/sensitivity-of-proposed-uk-sentinel-icu-pneumonia-surveillance-25-february-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/891878/S0023_SAGE10_Sensitivity_of_ICU_Surveillance.pdf
SAGE 10,2020-02-25,Imperial College London,"Sensitivity of proposed UK sentinel GP COVID-19 surveillance, 25 February 2020",Sensitivity of proposed UK sentinel GP COVID-19 surveillance - 25 February 2020,2020-06-12,https://www.gov.uk/government/publications/sensitivity-of-proposed-uk-sentinel-gp-covid-19-surveillance-25-february-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/891888/S0024_SAGE10_Sensitivity_of_GP_Surveillance.pdf
SAGE 11,2020-02-27,SAGE Minutes,"SAGE 11 minutes: Coronavirus (COVID-19) response, 27 February 2020",Eleventh SAGE meeting on Wuhan Coronavirus (COVID-19) - 27 February 2020,2020-05-29,https://www.gov.uk/government/publications/sage-minutes-coronavirus-covid-19-response-27-february-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/888778/S0379_Eleventh_SAGE_meeting_on_Wuhan_Coronavirus__Covid-19__.pdf
SAGE 11,2020-02-27,,"Potential effect of non-pharmaceutical interventions (NPIs) on a COVID-19 epidemic in the UK, 26 February 2020",Potential effect of non-pharmaceutical interventions (NPIs) on a COVID-19 epidemic in the UK - 26 February 2020,2020-03-20,https://www.gov.uk/government/publications/potential-effect-of-non-pharmaceutical-interventions-npis-on-a-covid-19-epidemic-in-the-uk-26-february-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/887550/03-potential-effect-of-non-pharmaceutical-interventions-npis-on-a-Covid-19-epidemic-in-the-UK.pdf
SAGE 11,2020-02-27,SAGE Secretariat,"Influenza vs COVID planning assumptions: update, 26 February 2020",Current understanding of COVID-19 compared with NSRA pandemic influenza planning assumptions - 26 February 2020,2020-05-05,https://www.gov.uk/government/publications/influenza-vs-covid-planning-assumptions-update-26-february-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/887435/19-current-understanding-covid-19-compared-with-nrsa-pandemic-influenza-26022020.pdf
SAGE 11,2020-02-27,CSA and CMO,"SAGE's priorities, 26 February 2020",SAGE's priorities - 26 February 2020,2020-06-05,https://www.gov.uk/government/publications/sages-priorities-26-february-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/890220/s0028-sages-priorities-260220-sage11.pdf
SAGE 12,2020-03-03,SAGE Minutes,"SAGE 12 minutes: Coronavirus (COVID-19) response, 3 March 2020",Twelfth SAGE meeting on Wuhan Coronavirus (COVID-19) - 3 March 2020,2020-05-29,https://www.gov.uk/government/publications/sage-minutes-coronavirus-covid-19-response-3-march-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/888780/S0380_Twelfth_SAGE_Meeting_on_Wuhan_Coronavirus_.pdf
SAGE 12,2020-03-03,SPI-M-O,"SPI-M-O: Consensus statement on 2019 novel coronavirus (COVID-19), 2 March 2020",SPI-M-O: Consensus statement on 2019 novel coronavirus (COVID-19) - 2 March 2020,2020-03-20,https://www.gov.uk/government/publications/spi-m-o-consensus-statement-on-2019-novel-coronavirus-covid-19-2-march-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/887541/01-spi-m-o-consensus-statement-on-2019-novel-coronavirus-_covid-19_.pdf
SAGE 12,2020-03-03,SPI-B,"SPI-B: Behavioural and social interventions on a COVID-19 epidemic in the UK, 3 March 2020",SPI-B return to SAGE on the use of behavioural and social interventions on a COVID-19 epidemic in the UK - 3 March 2020,2020-05-05,https://www.gov.uk/government/publications/spi-b-behavioural-and-social-interventions-on-a-covid-19-epidemic-in-the-uk-3-march-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/887444/20-spi-b-return-on-use-of-behavioural-social-interventions-03032020.pdf
SAGE 12,2020-03-03,SAGE Secretariat,"Potential impact of behavioural and social interventions on an epidemic of COVID-19 in the UK, 4 March 2020",Potential impact of behavioural and social interventions on an epidemic of COVID-19 in the UK - 4 March 2020,2020-05-05,https://www.gov.uk/government/publications/potential-impact-of-behavioural-and-social-interventions-on-an-epidemic-of-covid-19-in-the-uk-4-march-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/887449/21-potential-impact-behavioural-social-interventions-04032020.pdf
SAGE 12,2020-03-03,"MRC Centre for Global Infectious Disease Analysis, Imperial College London, CMMID, LSHTM","Adoption and impact of non-pharmaceutical interventions for COVID-19, 3 March 2020",Adoption and impact of non-pharmaceutical interventions for COVID-19 - 3 March 2020,2020-06-12,https://www.gov.uk/government/publications/adoption-and-impact-of-non-pharmaceutical-interventions-for-covid-19-3-march-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/891850/S0035_SAGE12_Current_Data_on_COVID-19_Interventions_Annex_1_to_Potential_impact_of_behavioural_and_social_interventions_on_an_epidemic_of_Covid19_in_the_UK.pdf
SAGE 12,2020-03-03,Imperial College London,"Summary indicative effects of non-pharmaceutical interventions (NPIs) to reduce COVID-19 transmission & mortality, 2 March 2020",Summary indicative effects of non-pharmaceutical interventions (NPIs) to reduce COVID-19 transmission and mortality - 2 March 2020,2020-06-12,https://www.gov.uk/government/publications/summary-indicative-effects-of-non-pharmaceutical-interventions-npis-to-reduce-covid-19-transmission-mortality-2-march-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/891845/S0029_NPIs_summary_Imperial_Annex_3_to_Potential_impact_of_behavioural_and_social_interventions_on_an_epidemic_of_Covid19_in_the_UK.pdf
SAGE 12,2020-03-03,LSHTM,"The effect of social distance measures on deaths and peak demand for hospital services in England, 3 March 2020",The effect of social distance measures on deaths and peak demand for hospital services in England,2020-06-12,https://www.gov.uk/government/publications/the-effect-of-social-distance-measures-on-deaths-and-peak-demand-for-hospital-services-in-england-3-march-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/891897/S0034_SAGE12_Social_Distancing_on_Deaths_and_Peak_Demand_Annex_2_to_Potential_impact_of_behavioural_and_social_interventions_on_an_epidemic_of_Covid19_in_the_UK.pdf
SAGE 12,2020-03-03,GOS,"GOS: Illustrative impact of behavioural and social interventions lasting several months on a reasonable worst-case epidemic, 3 March 2020", Illustrative impact of behavioural and social interventions lasting several months on RWC- 3 March 2020,2020-07-31,https://www.gov.uk/government/publications/gos-illustrative-impact-of-behavioural-and-social-interventions-lasting-several-months-on-a-reasonable-worst-case-epidemic-3-march-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/904529/S0033_Illustrative_impact_of_behavioural_and_social_interventions_lasting_several_months_on_RWC.pdf
SAGE 12,2020-03-03,SAGE Secretariat,"COVID-19 compared with NSRA pandemic influenza planning assumptions (Draft), 3 March 2020", Current understanding of COVID-19 compared with NSRA pandemic influenza planning assumptions - 3 March 2020,2020-07-31,https://www.gov.uk/government/publications/covid-19-compared-with-nsra-pandemic-influenza-planning-assumptions-draft-3-march-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/904536/S0640_COVID-19_compared_with_NSRA_Pandemic_Influenza_planning_assumptions.pdf
SAGE 13,2020-03-05,SAGE Minutes,"SAGE 13 minutes: Coronavirus (COVID-19) response, 5 March 2020",Thirteenth meeting on Wuhan Coronavirus (COVID-19) - 5 March 2020,2020-05-29,https://www.gov.uk/government/publications/sage-minutes-coronavirus-covid-19-5-march-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/888781/S0381_Thirteenth_meeting_on_Wuhan_Coronavirus__Covid-19__.pdf
SAGE 13,2020-03-05,SPI-B,"SPI-B: Insights on combined behavioural and social interventions, 4 March 2020",SPI-B insights on combined behavioural and social interventions - 4 March 2020,2020-03-20,https://www.gov.uk/government/publications/spi-b-insights-on-combined-behavioural-and-social-interventions-4-march-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/887574/04-spi-b-insights-on-combined-behavioural-and-social-interventions.pdf
SAGE 13,2020-03-05,PHE,"PHE: Serological surveillance of COVID-19 in England: sera collection protocol, 4 March 2020",Serological surveillance of COVID-19 in England: sera collection protocol - 4 March 2020,2020-06-05,https://www.gov.uk/government/publications/phe-serological-surveillance-of-covid-19-in-england-sera-collection-protocol-4-march-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/890007/s0036-serological-surveillance-of-covid-19-England-sera-collection-protocol-040320-sage13.pdf
SAGE 13,2020-03-05,Imperial College London,"Timing & local triggering of non-pharmaceutical interventions (NPIs) to reduce COVID-19 mortality and healthcare demands, 5 March 2020",Timing and local triggering of non-pharmaceutical interventions (NPIs) to reduce COVID-19 mortality and healthcare demands - 5 March 2020,2020-06-12,https://www.gov.uk/government/publications/timing-local-triggering-of-non-pharmaceutical-interventions-npis-to-reduce-covid-19-mortality-and-healthcare-demands-5-march-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/891855/S0039_SAGE13_MRC_Imperial_Timing_and_Triggering_of_NPIs.pdf
SAGE 13,2020-03-05,LSHTM,"Considerations for non-pharmaceutical intervention (NPI) policy - timing and sub-national targeting, 5 March 2020",Considerations for NPI Policy - timing and sub-national targeting - 5 March 2020,2020-06-12,https://www.gov.uk/government/publications/considerations-for-non-pharmaceutical-intervention-npi-policy-timing-and-sub-national-targeting-5-march-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/891859/S0041_SAGE13_LSHTM_Timings_of_NPIs.pdf
SAGE 13,2020-03-05,University of Edinburgh,"Optimising trigger times for social distancing measures (SDMs), 4 March 2020",Optimising trigger times for social distancing measures (SDMs) - 4 March 2020,2020-06-12,https://www.gov.uk/government/publications/optimising-trigger-times-for-social-distancing-measures-sdms-4-march-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/891904/S0038_SAGE13_Optimising_Time_Varying_SDMs.pdf
SAGE 13,2020-03-05,SAGE Secretariat,"COVID-19 compared with NSRA pandemic influenza planning assumptions (Draft), 4 March 2020",Current understanding of COVID-19 compared with NSRA pandemic influenza planning assumptions - 4 March 2020,2020-07-31,https://www.gov.uk/government/publications/covid-19-compared-with-nsra-pandemic-influenza-planning-assumptions-draft-4-march-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/904538/S0641_COVID-19_compared_with_NSRA_2019_Pandemic_Influenza_planning_assumptions.pdf
SAGE 14,2020-03-10,SAGE Minutes,"SAGE 14 minutes: Coronavirus (COVID-19) response, 10 March 2020",Fourteenth SAGE meeting on Wuhan Coronavirus (COVID-19) - 10 March 2020,2020-05-29,https://www.gov.uk/government/publications/sage-minutes-coronavirus-covid-19-response-10-march-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/888782/S0382_Fourteenth_SAGE_meeting_on_Wuhan_Coronavirus__Covid-19__.pdf
SAGE 14,2020-03-10,,"Potential impact of behavioural and social interventions on an epidemic of COVID-19 in the UK, 9 March 2020",Potential impact of behavioural and social interventions on an epidemic of COVID-19 in the UK - 9 March 2020,2020-03-20,https://www.gov.uk/government/publications/potential-impact-of-behavioural-and-social-interventions-on-an-epidemic-of-covid-19-in-the-uk-9-march-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/887638/05-potential-impact-of-behavioural-social-interventions-on-an-epidemic-of-covid-19-in-uk-1.pdf
SAGE 14,2020-03-10,,"Coronavirus in pregnancy and delivery: rapid review and expert consensus, 9 March 2020",Coronavirus in pregnancy and delivery: rapid review and expert consensus - 9 March 2020,2020-06-05,https://www.gov.uk/government/publications/coronavirus-in-pregnancy-and-delivery-rapid-review-and-expert-consensus-9-march-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/890225/s0046-coronavirus-pregnancy-delivery-rapid-review-090320-sage14.pdf
SAGE 14,2020-03-10,PHE,"PHE: SARS-CoV-2, SARS-CoV-1 and MERS-CoV: What do we know about children?, 9 March 2020","SARS-CoV-2, SARS-CoV-1 and MERS-CoV: What do we know about children? - 9 March 20202",2020-06-05,https://www.gov.uk/government/publications/phe-sars-cov-2-sars-cov-1-and-mers-cov-what-do-we-know-about-children-9-march-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/890221/s0045-sars-cov-2-sars-cov-1-mers-cov-what-do-we-know-about-children-090320-sage14.pdf
SAGE 14,2020-03-10,DHSC,"DHSC: SARS-CoV-2, SARS-Cov-1 and MERS-CoV: Epidemiology and clinical characteristics in children, 10 March 2020","SARS-CoV-2, SARS-Cov-1 and MERS-CoV: Epidemiology and clinical characteristics in children - 10 March 2020",2020-06-05,https://www.gov.uk/government/publications/dhsc-sars-cov-2-sars-cov-1-and-mers-cov-epidemiology-and-clinical-characteristics-in-children-10-march-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/890018/S0044-sars-cov-2-sars-cov-1-mers-cov-epidemiology-clinical-characteristics-in-children-100320-sage14.pdf
SAGE 14,2020-03-10,SAGE Secretariat,"COVID-19 reasonable worst-case planning assumptions, 10 March 2020",RWC planning assumptions - 10 March 2020,2020-07-31,https://www.gov.uk/government/publications/covid-19-reasonable-worst-case-planning-assumptions-10-march-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/904541/S0042_RWC_Planning_Assumptions_-_6_March_2020.pdf
SAGE 15,2020-03-13,SAGE Minutes,"SAGE 15 minutes: Coronavirus (COVID-19) response, 13 March 2020",Fifteenth SAGE meeting on Wuhan Coronavirus (COVID-19) - 13 March 2020,2020-05-29,https://www.gov.uk/government/publications/sage-minutes-coronavirus-covid-19-response-13-march-2020,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/888783/S0383_Fifteenth_SAGE_meeting_on_Wuhan_Coronavirus__Covid-19__.pdf
